Exposure,Tridecane,Tetradecane,Pentadecane,Hexadecane,Heptadecane,Octadecane,Phytane,Dodecylcyclohexane,Nonadecane,2-Methylnonadecane,3-Methylnonadecane,Eicosane,Heneicosane,Docosane,Tricosane,Tetracosane,Pentacosane,Hexacosane,Nonadecylcyclohexane,Squalane,Heptacosane,Octacosane,Nonacosane,Triacontane,Hentriacontane,Naphthalene,1-Methylnaphthalene,2-Methylnaphthalene,"2,6-Dimethylnaphthalene",Acenaphthylene,Dibenzofuran,Fluorene,Methylfluorene,Phenanthrene,Anthracene,9-Methylanthracene,Fluoranthene,Retene,Pyrene,Benz(a)anthracene,Chrysene,1-Methylchysene,Benzo(b)fluoranthene,Benzo(k)fluoranthene,Benzo(e)pyrene,Benzo(a)pyrene,Perylene,"Indeno[1,2,3-cd]pyrene",Benzo[ghi]perylene,Guaiacol,Methoxymethyl phenol,Ethylguaiacol,Eugenol,Propylguaiacol,Vanillin,Isoeugenol,"3,5-Dimethoxyphenol",Syringealdehyde,Acetosyringone,Coniferyl aldehyde,Levoglucosan,Al,Ba,Ca,Cd,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Sb,Si,Sr,Ti,Zn,NH4,Cl,NO3,SO4,PO4
Eucalyptus_Smoldering,0.0778,0.1556,0.12,0.0636,0.1344,0.0566,0.0354,0.0354,0.0636,0.0566,0.0424,0.1061,0.1273,0.21,0.74,1.51,1.63,1.71,0.04,0.0495,1.49,1.29,1.09,1.7,1.46,0.04,0.1131,0.0636,0.13,0.8,0.0071,0.19,0.18,0.24,0.05,0.1061,0.15,0.0283,0.04,0.0424,0.0141,0.0141,0.0283,0.0141,0.0424,0,0,0.0495,0.0849,15.53,17.74,6.89,2.56,0.73,21,109.46,0.3536,165.68,28.45,46.15,503.76,32.1237,0.4141,113.0386,0.0219,0.8703,6.5154,11.3423,3.7027,19.429,0.2583,64.648,0.4131,12.1639,0.0297,287.3615,1.0979,68.1701,0.656,0.5261,19.1325,0.002,0.0141,0.0056,0.0285,0.0105
Eucalyptus_Flaming,0.0778,0.1556,0.0849,0.19,0.1344,0.19,0.0354,0.0354,0.22,0.0566,0.0424,0.25,0.28,0.25,0.26,0.1061,0.0778,0.0919,0.0212,0.0495,0.1414,0.1626,0.1838,0.099,0.1202,0.43,0.1131,0.09,0.0636,0.68,0.03,0.25,0.07,2.09,0.59,0.1061,3.54,0.0283,1.2,0.36,0.34,0.0141,0.21,0.21,0.13,0.23,0.04,0.12,0.18,1.28,1.06,0.3536,0.3536,0.3536,1.72,0.75,0.3536,16.63,2.5,7.37,264.24,42.0636,7.535,332.1395,0.0935,3.4349,36.9701,29.4079,68.3015,39.2655,1.0912,819.7299,2.5875,29.512,0.1334,653.0782,1.4334,1066.4257,2.0802,2.3634,107.0232,0.0109,0.552,0.0586,0.2311,4.9976
Peat_Smoldering,0.38,1.6,3.78,4.36,5.05,5.76,0.83,0.25,5.89,1.36,1.13,7.55,6.77,9.46,7.91,8.27,5.57,5.51,1,0.0495,8.53,7.75,14.14,9.27,8.3,0.07,0.24,0.24,0.64,0.11,0.07,1.29,0.81,1.52,0.42,0.15,0.45,2.72,0.25,0.0424,0.05,0.0141,0.0283,0.0141,0.0424,0,0,0.0495,0.0849,28.9,17.92,10.59,2.16,1.54,23.02,39.14,1.31,25.29,13.19,0.3536,47.92,0.8987,1.8131,358.4662,0.0219,1.0824,19.4825,19.6153,8.8235,29.7233,0.6441,152.1812,1.2142,10.5956,0.0905,70.7107,1.1326,245.0758,2.0041,0.5023,61.1057,0.0272,0.0897,0.0283,0.3725,0.0664
Peat_Flaming,0.0778,0.1556,0.95,0.4,0.3,0.74,0.0354,0.0354,0.26,0.0566,0.9,0.54,0.34,0.57,0.5,0.1061,0.35,0.28,0.0212,0.1,0.28,0.1626,0.35,0.22,0.29,0.06,0.1131,0.0636,0.0636,0.0424,0.0071,0.03,0.0424,0.07,0.0212,0.1061,0.08,0.12,0.0212,0.0424,0.03,0.0141,0.0283,0.0141,0.0424,0,0,0.0495,0.0849,0.3536,0.3536,0.3536,0.3536,0.3536,0.51,0.3536,0.3536,0.5,0.3536,0.82,24.22,151.0698,13.7546,2359.4107,0.1582,5.4624,49.4064,78.147,248.7502,195.4387,3.4948,1547.3611,8.5051,40.0535,0.4549,2417.4016,4.3135,892.3566,15.7488,1.8794,408.9556,0.1295,0.7833,0.0584,7.952,16.3065
Pine_Smoldering,0.0778,0.1556,0.24,0.25,0.1344,0.29,0.0354,0.0354,0.14,0.0566,0.47,0.17,0.1273,0.16,0.1344,0.46,0.0778,0.0919,0.0212,0.0495,0.1414,0.1626,0.1838,0.099,0.1202,0.0141,0.35,0.12,0.0636,0.0424,0.07,1.01,0.19,1.39,0.37,0.1061,0.35,11.61,0.08,0.0424,0.0141,0.0141,0.0283,0.0141,0.0424,0,0,0.0495,0.0849,45.73,88.49,26.48,32.46,7.13,188.86,1294.16,0.3536,0.3536,0.3536,367.36,365.83,43.8674,0.2474,53.6202,0.0219,0.2124,12.4449,3.0989,3.8628,8.6229,0.16,82.5449,0.1816,6.0321,0.1032,1155.2176,0.3897,47.6101,0.3793,0.0424,17.2753,7.00E-04,0.01,0.0056,0.0667,0.0131
Pine_Flaming,0.0778,0.1556,0.0849,0.0636,0.35,0.37,0.0354,0.0354,0.24,0.0566,0.0424,0.29,0.42,0.48,0.8,0.42,0.35,0.19,0.04,0.18,0.22,0.1626,0.1838,0.16,0.1202,0.81,0.22,0.14,0.0636,1.13,0.05,0.37,0.0424,2.23,0.59,0.1061,3.37,0.94,1.21,0.39,0.39,0.05,0.32,0.33,0.15,0.3,0.04,0.0495,0.17,2.66,1.44,0.3536,0.74,0.3536,4.23,6.92,0.3536,0.3536,0.3536,22.95,154.74,0.8987,7.3908,425.497,0.1918,2.5085,19.9761,19.2578,68.177,50.2212,0.8955,633.0105,2.5456,37.9655,0.1115,330.4096,0.913,819.6394,2.1154,1.9168,98.104,0.0169,0.255,0.1015,0.2368,5.3981
Pine_Needles_Smoldering,0.15,0.26,0.72,0.27,0.34,0.31,0.0354,0.12,0.37,0.0566,0.0424,0.28,0.3,0.32,0.43,0.53,0.0778,0.0919,0.0212,0.49,0.1414,0.1626,0.1838,0.38,0.34,0.08,0.45,0.36,0.48,0.21,0.07,0.66,0.33,1.53,0.39,0.1061,0.46,17.13,0.09,0.06,0.05,0.0141,0.0283,0.0141,0.0424,0,0,0.0495,0.0849,15.93,10.5,7.79,4.2,1.75,8.7,83.11,0.3536,0.3536,0.3536,5.43,77.66,0.8987,0.6346,109.2454,0.0219,0.1799,5.0774,2.1328,4.8061,15.7718,0.1721,31.239,0.2437,3.0015,0.0297,70.7107,0.234,68.9646,0.9196,0.2563,9.5127,0.0196,0.0177,0.0303,0.1102,0.0805
Pine_Needles_Flaming,0.11,0.22,0.16,0.12,0.1344,0.16,0.0354,0.0354,0.29,0.0566,0.72,0.16,0.1273,0.18,0.21,0.1061,0.0778,0.0919,0.0212,0.0495,0.1414,0.1626,0.1838,0.099,0.1202,0.52,0.1131,0.11,0.0636,0.13,0.02,0.1,0.0424,0.79,0.13,0.1061,0.98,1.25,0.32,0.15,0.21,0.0141,0.0283,0.0141,0.0424,0,0,0.0495,0.0849,5.5,0.72,0.3536,0.3536,0.3536,1.22,0.3536,0.3536,1.5,0.3536,1.01,38.58,47,8.4191,950.0574,0.0666,3.4167,23.03,33.2078,131.7792,68.161,1.3486,876.5951,2.6994,15.9701,0.1518,3651.0415,1.7069,518.0559,6.2134,1.7116,180.4178,0.1806,0.5139,0.0283,3.8721,8.2573
Red_Oak_Smoldering,0.0778,0.1556,0.0849,0.12,0.19,0.12,0.0354,0.0354,0.11,0.0566,0.0424,0.15,0.1273,0.16,0.1344,0.1061,0.15,0.0919,0.0212,0.0495,0.1414,0.1626,0.1838,0.099,0.1202,0.0141,0.1131,0.0636,0.0636,0.0424,0.94,0.0141,0.08,0.22,0.06,0.1061,0.11,0.25,0.0212,0.0424,0.0141,0.0141,0.0283,0.0141,0.0424,0,0,0.0495,0.0849,7.58,10.59,6.37,4.1,1.31,28.91,206.91,2.54,229.37,26.32,82.45,384.92,8.4606,0.5583,157.9872,0.0219,0.5159,6.5819,13.9426,1.2535,29.2884,0.4038,65.8497,1.0313,7.1963,0.0562,70.7107,1.4972,186.9093,0.9317,0.8464,24.4818,0.0017,0.0466,0.0079,0.0404,7.00E-04
Red_Oak_Flaming,0.0778,0.1556,0.15,0.47,0.3,0.62,0.0354,0.0354,0.2,0.13,0.77,0.38,0.69,0.36,0.52,0.57,0.43,0.29,0.03,0.18,0.29,0.1626,0.1838,0.19,0.28,0.03,0.1131,0.0636,0.0636,0.0424,0.0071,0.02,0.0424,0.07,0.0212,0.1061,0.14,0.11,0.05,0.0424,0.04,0.0141,0.0283,0.0141,0.0424,0,0,0.0495,0.0849,0.3536,0.3536,0.3536,0.3536,0.3536,0.5,1.59,0.3536,0.3536,0.3536,0.8,37.3,14.0495,14.5193,478.3806,0.4431,2.971,35.7853,34.268,129.4531,47.3267,1.7488,1504.1951,5.4057,21.9409,0.1917,153.1112,1.3303,1988.0685,2.6077,2.0788,102.3757,0.0311,0.4924,0.0587,0.2233,11.7807